[14-Jul-2018 11:14:24 UTC] PHP Parse error:  syntax error, unexpected '}' in Z:\home\site\www\cms\core\enviroment.php on line 196
[14-Jul-2018 11:14:32 UTC] PHP Parse error:  syntax error, unexpected '}' in Z:\home\site\www\cms\core\enviroment.php on line 202
[14-Jul-2018 11:57:11 UTC] PHP Parse error:  syntax error, unexpected '}' in Z:\home\site\www\cms\core\actions.php on line 182
[14-Jul-2018 11:57:11 UTC] PHP Fatal error:  Call to undefined function LCMS\Core\htmlchars() in Z:\home\site\www\cms\exception.php on line 67
[17-Jul-2018 13:32:29 UTC] PHP Parse error:  syntax error, unexpected '(' in Z:\home\site\www\cms\core\enviroment.php on line 82
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:53 UTC] PHP Warning:  register_shutdown_function() [<a href='function.register-shutdown-function'>function.register-shutdown-function</a>]: Invalid shutdown callback 'fatal_handler' passed in Z:\home\site\www\cms\exception.php on line 9
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:53 UTC] PHP Warning:  register_shutdown_function() [<a href='function.register-shutdown-function'>function.register-shutdown-function</a>]: Invalid shutdown callback 'fatal_handler' passed in Z:\home\site\www\cms\exception.php on line 9
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:53 UTC] PHP Warning:  register_shutdown_function() [<a href='function.register-shutdown-function'>function.register-shutdown-function</a>]: Invalid shutdown callback 'fatal_handler' passed in Z:\home\site\www\cms\exception.php on line 9
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:53 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:53 UTC] PHP Warning:  register_shutdown_function() [<a href='function.register-shutdown-function'>function.register-shutdown-function</a>]: Invalid shutdown callback 'fatal_handler' passed in Z:\home\site\www\cms\exception.php on line 9
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:55 UTC] PHP Warning:  register_shutdown_function() [<a href='function.register-shutdown-function'>function.register-shutdown-function</a>]: Invalid shutdown callback 'fatal_handler' passed in Z:\home\site\www\cms\exception.php on line 9
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_error_handler() expects the argument (error_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 7
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
[29-Jul-2018 10:04:55 UTC] PHP Warning:  set_exception_handler() expects the argument (exception_handler) to be a valid callback in Z:\home\site\www\cms\exception.php on line 8
